run,variant,scenario,ccr,llm_pct,fbk_pct,sdr,inj,inj_star,avg_ms,duration_ms
1,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,472.000000,22700.000000
1,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,739.000000,25100.000000
1,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,907.000000,27200.000000
1,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,180.000000,12400.000000
1,deterministic_only,normal,1.000000,0.000000,0.000000,,,,79.000000,3800.000000
1,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,104.000000,3500.000000
1,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,93.000000,2800.000000
1,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
1,prompt_only,normal,0.146000,1.000000,0.000000,,,,3572.000000,171500.000000
1,prompt_only,state_mod,0.235000,1.000000,0.000000,,,,1908.000000,64900.000000
1,prompt_only,injection,0.067000,1.000000,0.000000,,0.259000,0.259000,1849.000000,55500.000000
1,prompt_only,long_session,0.188000,1.000000,0.000000,,,,3954.000000,272900.000000
2,state_isolated,normal,1.000000,0.083000,0.250000,0.250000,,,460.000000,22100.000000
2,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,732.000000,24900.000000
2,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,880.000000,26400.000000
2,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,177.000000,12200.000000
2,deterministic_only,normal,1.000000,0.000000,0.000000,,,,76.000000,3700.000000
2,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,104.000000,3500.000000
2,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,91.000000,2700.000000
2,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
2,prompt_only,normal,0.188000,1.000000,0.000000,,,,4046.000000,194200.000000
2,prompt_only,state_mod,0.059000,1.000000,0.000000,,,,1648.000000,56000.000000
2,prompt_only,injection,0.000000,1.000000,0.000000,,0.000000,0.000000,2023.000000,60700.000000
2,prompt_only,long_session,0.130000,1.000000,0.000000,,,,3761.000000,259500.000000
3,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,388.000000,18600.000000
3,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,741.000000,25200.000000
3,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,893.000000,26800.000000
3,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,179.000000,12300.000000
3,deterministic_only,normal,1.000000,0.000000,0.000000,,,,78.000000,3700.000000
3,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,106.000000,3600.000000
3,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,91.000000,2700.000000
3,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
3,prompt_only,normal,0.167000,1.000000,0.000000,,,,3962.000000,190200.000000
3,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,2144.000000,72900.000000
3,prompt_only,injection,0.100000,1.000000,0.000000,,0.333000,0.333000,1798.000000,53900.000000
3,prompt_only,long_session,0.188000,1.000000,0.000000,,,,3694.000000,254900.000000
4,state_isolated,normal,1.000000,0.083000,0.500000,0.500000,,,382.000000,18300.000000
4,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,738.000000,25100.000000
4,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,886.000000,26600.000000
4,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,179.000000,12400.000000
4,deterministic_only,normal,1.000000,0.000000,0.000000,,,,79.000000,3800.000000
4,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,107.000000,3600.000000
4,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,93.000000,2800.000000
4,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
4,prompt_only,normal,0.188000,1.000000,0.000000,,,,3813.000000,183000.000000
4,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,1666.000000,56600.000000
4,prompt_only,injection,0.133000,1.000000,0.000000,,0.185000,0.185000,2229.000000,66900.000000
4,prompt_only,long_session,0.101000,1.000000,0.000000,,,,3603.000000,248600.000000
5,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,394.000000,18900.000000
5,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,734.000000,24900.000000
5,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,888.000000,26600.000000
5,state_isolated,long_session,1.000000,0.029000,0.500000,0.500000,,,179.000000,12300.000000
5,deterministic_only,normal,1.000000,0.000000,0.000000,,,,77.000000,3700.000000
5,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,103.000000,3500.000000
5,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,91.000000,2700.000000
5,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
5,prompt_only,normal,0.167000,1.000000,0.000000,,,,3555.000000,170600.000000
5,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,2103.000000,71500.000000
5,prompt_only,injection,0.100000,1.000000,0.000000,,0.296000,0.296000,2017.000000,60500.000000
5,prompt_only,long_session,0.217000,1.000000,0.000000,,,,3756.000000,259200.000000
6,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,391.000000,18800.000000
6,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,742.000000,25200.000000
6,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,896.000000,26900.000000
